ID base,Exercício base,Resultado final,Ordem candidato,Nome candidato,Índice de similaridade (não é probabilidade),Equipamento,Grupo catálogo,Diferenças / justificativa,Referências no catálogo,Fonte catálogo
5724,Abdução Caneleira,Revisar,2,Lying Leg Abduction (female),65,Body weight,Hips,"não descrito no candidato: ankle, weight; variação adicional no candidato: lying",Videos!4067 (ID 587212); Videos!4750 (ID 658812),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5724,Abdução Caneleira,Revisar,3,Weighted Lying Hip Abduction,64,Weighted,Hips,"não descrito no candidato: ankle, weight; variação adicional no candidato: lying",Illustrations!838 (ID 0837),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5725,Levantamento Terra,Revisar,1,Axle Deadlift (male),76,Body weight,Hips,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!5109 (ID 695312),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5725,Levantamento Terra,Revisar,2,Stick Deadlift (male),73,Stick,Hips,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!7381 (ID 928712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5725,Levantamento Terra,Revisar,3,Band deadlift,72,Band,Hips,variação adicional no candidato: band,Illustrations!896 (ID 0895); Illustrations!4544 (ID 4618); Animated GIFs!891 (ID 089513); Animated GIFs!4415 (ID 461813); Videos!722 (ID 089512); Videos!3037 (ID 461812),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5726,Tibial com Halter,Revisar,1,Dumbbell Wall Squat,67,Dumbbell,Thighs,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!1556 (ID 1558); Animated GIFs!1542 (ID 155813),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5726,Tibial com Halter,Revisar,2,Dumbbell Split Squat (female),65,Dumbbell,Thighs,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!2926 (ID 2959); Illustrations!2927 (ID 2960); Animated GIFs!2815 (ID 295913); Animated GIFs!2816 (ID 296013); Videos!1998 (ID 295912),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5726,Tibial com Halter,Revisar,3,Dumbbell Split Squat,65,Dumbbell,"Hips, Thighs",Nome semelhante; equivalência da execução ainda não confirmada.,Videos!1999 (ID 296012),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5727,Afundo Barra,Correspondência forte,1,Barbell Split Squat (female),95,Barbell,"Hips, Thighs","Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!2338 (ID 2370); Illustrations!2997 (ID 3030); Animated GIFs!2886 (ID 303013),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5727,Afundo Barra,Correspondência forte,2,Barbell Split Squat (VERSION 2),95,Barbell,Hips,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!2776 (ID 2809); Illustrations!2777 (ID 2810); Animated GIFs!2665 (ID 280913); Animated GIFs!2666 (ID 281013); Videos!1910 (ID 280912),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5727,Afundo Barra,Correspondência forte,3,Barbell Split Squat (female),95,Barbell,Thighs,"Nome equivalente após tradução e normalização, sem diferença explícita.",Animated GIFs!2227 (ID 237013); Videos!1611 (ID 237012); Videos!2047 (ID 303012),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5728,Retrocesso Barra,Correspondência forte,1,Barbell Rear Lunge (version 2),95,Barbell,Thighs,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!78 (ID 0077); Illustrations!79 (ID 0078); Animated GIFs!78 (ID 007713); Animated GIFs!79 (ID 007813); Animated GIFs!2085 (ID 222613); Videos!65 (ID 007712); Videos!66 (ID 007812); Videos!1505 (ID 222612),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5728,Retrocesso Barra,Correspondência forte,2,Barbell Rear Lunge (female),95,Barbell,"Hips, Thighs","Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!2196 (ID 2226),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5728,Retrocesso Barra,Correspondência forte,3,Barbell Overhead Lunge,80,Barbell,Thighs,não descrito no candidato: reverse,Illustrations!3690 (ID 3725); Animated GIFs!3565 (ID 372513); Videos!2479 (ID 372512),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5729,Supino Máquina,Correspondência forte,1,Lever Chest Press,95,Leverage machine,Chest,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!578 (ID 0577); Illustrations!1453 (ID 1455); Illustrations!2246 (ID 2277); Illustrations!2425 (ID 2457); Animated GIFs!578 (ID 057713); Animated GIFs!1439 (ID 145513); Animated GIFs!2135 (ID 227713); Animated GIFs!2314 (ID 245713); Videos!481 (ID 057712); Videos!1125 (ID 145512); Videos!1476 (ID 219512); Videos!1551 (ID 227712); Videos!1584 (ID 231912); Videos!1677 (ID 245712); Videos!5238 (ID 708212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5729,Supino Máquina,Correspondência forte,2,Lever Tower Chest Press (male),84,Leverage machine,Chest,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!8283 (ID 1030512),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5729,Supino Máquina,Correspondência forte,3,Lever Multy Chest Press (male),84,Leverage machine,Chest,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!8479 (ID 1050212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5730,Supino Reto com Halter,Correspondência forte,1,Dumbbell Bench Press,95,Dumbbell,Chest,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!290 (ID 0289); Illustrations!2224 (ID 2254); Animated GIFs!290 (ID 028913); Animated GIFs!2113 (ID 225413); Videos!244 (ID 028912); Videos!1528 (ID 225412),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5730,Supino Reto com Halter,Correspondência forte,2,Dumbbell JM Bench Press,84,Dumbbell,Upper Arms,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!9063 (ID 1121312),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5730,Supino Reto com Halter,Correspondência forte,3,Dumbbell Banded Bench Press,84,Dumbbell,Chest,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!4133 (ID 4184); Animated GIFs!4004 (ID 418413),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5731,Crucifixo Máquina,Revisar,1,Lever Seated Fly,68,Leverage machine,Chest,variação adicional no candidato: seated,Illustrations!597 (ID 0596); Illustrations!2225 (ID 2255); Animated GIFs!597 (ID 059613); Animated GIFs!2114 (ID 225513); Videos!498 (ID 059612); Videos!1529 (ID 225512); Videos!6945 (ID 885112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5731,Crucifixo Máquina,Revisar,2,Lever Pec Deck Fly,67,Leverage machine,Chest,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!1030 (ID 1030); Illustrations!2395 (ID 2427); Animated GIFs!1023 (ID 103013); Animated GIFs!2284 (ID 242713); Videos!809 (ID 103012); Videos!1655 (ID 242712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5731,Crucifixo Máquina,Revisar,3,Lever Incline Fly (male),65,Leverage machine,Chest,variação adicional no candidato: incline,Illustrations!5316 (ID 5843); Animated GIFs!5184 (ID 584313); Videos!4038 (ID 584312); Videos!9270 (ID 1142012),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5732,Peck Deck,Correspondência forte,1,Lever Pec Deck Fly,95,Leverage machine,Chest,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!1030 (ID 1030); Illustrations!2395 (ID 2427); Animated GIFs!1023 (ID 103013); Animated GIFs!2284 (ID 242713); Videos!809 (ID 103012); Videos!1655 (ID 242712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5732,Peck Deck,Correspondência forte,2,Lever Standing Pec Fly (male),61,Leverage machine,Chest,variação adicional no candidato: standing,Illustrations!6139 (ID 9398); Animated GIFs!5997 (ID 939813); Videos!7492 (ID 939812),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5732,Peck Deck,Correspondência forte,3,Lever Seated Fly,61,Leverage machine,Chest,variação adicional no candidato: seated,Illustrations!597 (ID 0596); Illustrations!2225 (ID 2255); Animated GIFs!597 (ID 059613); Animated GIFs!2114 (ID 225513); Videos!498 (ID 059612); Videos!1529 (ID 225512); Videos!6945 (ID 885112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5733,Supino Smith,Correspondência forte,1,Smith Bench Press,95,Smith machine,Chest,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!749 (ID 0748); Illustrations!5768 (ID 7002); Animated GIFs!749 (ID 074813); Animated GIFs!5632 (ID 700213); Videos!611 (ID 074812); Videos!5158 (ID 700212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5733,Supino Smith,Correspondência forte,2,Smith JM Bench Press,84,Smith machine,Upper Arms,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!6137 (ID 9385); Animated GIFs!5995 (ID 938513); Videos!7479 (ID 938512),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5733,Supino Smith,Correspondência forte,3,Smith Wide Grip Bench Press,83,Smith machine,Chest,variação adicional no candidato: wide,Illustrations!1306 (ID 1308); Animated GIFs!1292 (ID 130813); Videos!1022 (ID 130812); Videos!9241 (ID 1139112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5734,Crucifixo com Halter,Correspondência forte,1,Dumbbell Fly,95,Dumbbell,Chest,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!309 (ID 0308); Illustrations!2223 (ID 2253); Animated GIFs!309 (ID 030813); Animated GIFs!2112 (ID 225313); Videos!261 (ID 030812); Videos!1527 (ID 225312),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5734,Crucifixo com Halter,Correspondência forte,2,Dumbbell Half Fly,83,Dumbbell,Chest,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!8921 (ID 1097012),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5734,Crucifixo com Halter,Correspondência forte,3,Dumbbell Low Fly,82,Dumbbell,Chest,variação adicional no candidato: low,Illustrations!3866 (ID 3911); Animated GIFs!3737 (ID 391113); Videos!2592 (ID 391112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5736,Supino Polia,Correspondência forte,1,Cable Bench Press,95,Cable,Chest,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!152 (ID 0151); Illustrations!2645 (ID 2678); Illustrations!6583 (ID 11256); Animated GIFs!152 (ID 015113); Animated GIFs!2534 (ID 267813); Animated GIFs!6437 (ID 1125613); Videos!124 (ID 015112); Videos!1841 (ID 267812); Videos!9106 (ID 1125612),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5736,Supino Polia,Correspondência forte,2,Cable Low Chest Press (male),84,Cable,Chest,variação adicional no candidato: low,Illustrations!5304 (ID 5814); Animated GIFs!5172 (ID 581413); Videos!4009 (ID 581412); Videos!7531 (ID 943712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5736,Supino Polia,Correspondência forte,3,Cable Seated Chest Press,79,Cable,Chest,variação adicional no candidato: seated,Illustrations!2136 (ID 2144); Illustrations!3028 (ID 3061); Animated GIFs!2027 (ID 214413); Animated GIFs!2917 (ID 306113); Videos!1459 (ID 214412); Videos!2068 (ID 306112); Videos!6052 (ID 792612),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5737,Desenvolvimento Polia em pé,Revisar,1,Cable Shoulder Press,78,Cable,Shoulders,não descrito no candidato: standing,Illustrations!220 (ID 0219); Illustrations!3033 (ID 3066); Animated GIFs!220 (ID 021913); Animated GIFs!2922 (ID 306613); Videos!185 (ID 021912); Videos!5218 (ID 706212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5737,Desenvolvimento Polia em pé,Revisar,2,Cable Single Arm Military Press (male),69,Cable,Shoulders,não descrito no candidato: standing; variação adicional no candidato: unilateral,Videos!8003 (ID 994912); Videos!9278 (ID 1142812),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5737,Desenvolvimento Polia em pé,Revisar,3,Cable Seated Shoulder Press,63,Cable,Shoulders,não descrito no candidato: standing; variação adicional no candidato: seated,Videos!9426 (ID 1157612); Videos!9427 (ID 1157712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5738,Elevação Frontal com Halter em pé,Revisar,1,Dumbbell Front Raise (version 2),75,Dumbbell,Shoulders,O catálogo não explicita a posição em pé neste nome; confirmar execução.,Illustrations!310 (ID 0309); Illustrations!311 (ID 0310); Illustrations!2203 (ID 2233); Illustrations!3394 (ID 3428); Animated GIFs!310 (ID 030913); Animated GIFs!311 (ID 031013); Animated GIFs!2092 (ID 223313); Animated GIFs!3269 (ID 342813); Videos!262 (ID 030912); Videos!263 (ID 031012); Videos!1511 (ID 223312); Videos!2273 (ID 342812); Videos!6762 (ID 864712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5738,Elevação Frontal com Halter em pé,Revisar,2,Dumbbell Standing Front and Lateral Raise,84,Dumbbell,Shoulders,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!5863 (ID 7449); Animated GIFs!5725 (ID 744913); Videos!5513 (ID 736112); Videos!5600 (ID 744912),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5738,Elevação Frontal com Halter em pé,Revisar,3,Dumbbell Standing Front Raise Above Head,84,Dumbbell,Shoulders,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!420 (ID 0419); Animated GIFs!420 (ID 041913); Videos!355 (ID 041912); Videos!8232 (ID 1017812),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5739,Elevação Frontal Polia em pé,Correspondência forte,1,Cable Standing Front Raise (VERSION 3),95,Cable,Shoulders,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!6604 (ID 11277); Animated GIFs!6458 (ID 1127713); Videos!9127 (ID 1127712),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5739,Elevação Frontal Polia em pé,Correspondência forte,2,Cable Standing Front Raise Variation,84,Cable,Shoulders,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!3965 (ID 4014); Animated GIFs!3836 (ID 401413); Videos!2665 (ID 401412),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5739,Elevação Frontal Polia em pé,Correspondência forte,3,Cable Front Raise,75,Cable,Shoulders,não descrito no candidato: standing,Illustrations!163 (ID 0162); Illustrations!2200 (ID 2230); Animated GIFs!163 (ID 016213); Animated GIFs!2089 (ID 223013); Videos!134 (ID 016212); Videos!1508 (ID 223012),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5740,Elevação Lateral Polia unilateral em pé,Correspondência forte,1,Cable One Arm Lateral Raise,90,Cable,Shoulders,"Correspondência terminológica revisada: movimento, equipamento e variante descrita compatíveis. Forte pelos metadados; execução visual não verificada.",Illustrations!193 (ID 0192); Illustrations!2201 (ID 2231); Illustrations!6083 (ID 8901); Animated GIFs!193 (ID 019213); Animated GIFs!2090 (ID 223113); Animated GIFs!5941 (ID 890113); Videos!161 (ID 019212); Videos!1509 (ID 223112); Videos!6995 (ID 890112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5740,Elevação Lateral Polia unilateral em pé,Correspondência forte,2,Cable Single Arm Cuffed Lateral Raise (male),75,Cable,Shoulders,não descrito no candidato: standing,Videos!8922 (ID 1097112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5740,Elevação Lateral Polia unilateral em pé,Correspondência forte,3,Cable Side Lying Single Arm Lateral Raise (male),74,Cable,Shoulders,não descrito no candidato: standing; variação adicional no candidato: lying,Illustrations!6152 (ID 9491); Animated GIFs!6010 (ID 949113); Videos!7585 (ID 949112); Videos!9363 (ID 1151312),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5741,Remada Alta com Halter,Correspondência forte,1,Dumbbell Upright Row,95,Dumbbell,Shoulders,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!438 (ID 0437); Illustrations!3397 (ID 3431); Animated GIFs!3272 (ID 343113); Videos!371 (ID 043712); Videos!2275 (ID 343112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5741,Remada Alta com Halter,Correspondência forte,2,Dumbbell Upright Row (back POV),82,Dumbbell,Shoulders,Nome semelhante; equivalência da execução ainda não confirmada.,Illustrations!1763 (ID 1765); Animated GIFs!1747 (ID 176513); Videos!1324 (ID 176512),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5741,Remada Alta com Halter,Correspondência forte,3,Dumbbell Upright Row,76,Dumbbell,Upper Arms,grupo muscular divergente: Ombro × Upper Arms,Animated GIFs!438 (ID 043713),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5742,Remada Alta Polia,Correspondência forte,1,Cable Upright Row,95,Cable,Shoulders,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!247 (ID 0246); Illustrations!2202 (ID 2232); Animated GIFs!247 (ID 024613); Animated GIFs!2091 (ID 223213); Videos!207 (ID 024612); Videos!1510 (ID 223212),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5742,Remada Alta Polia,Correspondência forte,2,Cable Upright Row (rope attachment),83,Cable,Shoulders,variação adicional no candidato: rope,Videos!8991 (ID 1104012),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5742,Remada Alta Polia,Correspondência forte,3,Cable Upright Row (SZ Bar),83,Cable,Shoulders,Nome semelhante; equivalência da execução ainda não confirmada.,Videos!8992 (ID 1104112),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
5743,Encolhimento com Halter,Correspondência forte,1,Dumbbell Shrug,95,Dumbbell,Back,"Nome equivalente após tradução e normalização, sem diferença explícita.",Illustrations!407 (ID 0406); Illustrations!2563 (ID 2596); Animated GIFs!407 (ID 040613); Animated GIFs!2452 (ID 259613); Videos!343 (ID 040612); Videos!1779 (ID 259612),https://docs.google.com/spreadsheets/d/1RMmqNGdAmlKWrk7TJsYJRhhsyaacGkRx/edit
